"lhs","op","rhs","count.group","count.ind"
"X2","~","X1",100,0
"X1","~","X1lag",100,0
"X2","~","X1lag",100,0
"X3","~","X2",100,0
"X2","~","X2lag",100,0
"X3","~","X2lag",100,0
"X4","~","X3",100,0
"X3","~","X3lag",100,0
"X5","~","X4",100,0
"X4","~","X4lag",100,0
"X5","~","X4lag",100,0
"X6","~","X5",100,0
"X5","~","X5lag",100,0
"X7","~","X6",100,0
"X6","~","X6lag",100,0
"X7","~","X6lag",100,0
"X8","~","X7",100,0
"X7","~","X7lag",100,0
"X8","~","X7lag",100,0
"X8","~","X8lag",100,0
"X7","~","X5lag",0,46
"X6","~","X4lag",0,42
"X8","~","X6lag",0,23
"X5","~","X3lag",0,22
"X3","~","X1lag",0,12
"X4","~","X2lag",0,6
"X5","~","X6",0,3
"X5","~","X6lag",0,3
"X7","~","X3lag",0,2
"X3","~","X7lag",0,2
"X4","~","X7lag",0,2
"X3","~","X8",0,2
"X3","~","X8lag",0,2
"X8","~","X1lag",0,1
"X4","~","X2",0,1
"X5","~","X2lag",0,1
"X7","~","X2lag",0,1
"X5","~","X3",0,1
"X4","~","X3lag",0,1
"X6","~","X3lag",0,1
"X8","~","X3lag",0,1
"X3","~","X4",0,1
"X2","~","X4lag",0,1
"X7","~","X4lag",0,1
"X8","~","X4lag",0,1
"X7","~","X5",0,1
"X6","~","X5lag",0,1
"X1","~","X6lag",0,1
"X6","~","X7lag",0,1
"X7","~","X8",0,1
"X2","~","X8lag",0,1
"X4","~","X8lag",0,1
"X6","~","X8lag",0,1
